symbol,Non-Normalized MAD,Non-Normalized MAPE,Non-Normalized MSE,Normalized MAD,Normalized MAPE,Normalized MSE
0001.HK,1.748464657,0.016943561,5.224630588,1.510215773,0.016943561,4.023385186
0002.HK,0.637420836,0.009672203,0.648429561,0.549738776,0.009672203,0.479536795
0003.HK,1.616857352,0.089826518,2.73649505,0.205992212,0.089826518,0.084029395
0004.HK,0.991872794,0.019773186,1.519710579,0.848853474,0.019773186,1.067265772
0005.HK,0.9157747,0.013808522,1.436744189,0.837346603,0.013808522,1.196156337
0006.HK,1.000838916,0.013960754,1.640402478,0.890895776,0.013960754,1.345916029
0007.HK,1.008581966,0.998247654,1.090987781,0.031586705,0.998247654,0.00211438
0008.HK,4.630094469,0.979407822,21.57358941,0.065096273,0.979407822,0.007631199
0009.HK,0.924991723,0.999732778,1.056332262,0.042321602,0.999732778,0.006802656
0010.HK,0.601914964,0.018117314,0.608762212,0.537995591,0.018117314,0.495264618
0011.HK,1.756143538,0.012670355,6.051503078,1.541055593,0.012670355,4.583344958
0012.HK,1.039371999,0.019390808,1.842890962,0.885818909,0.019390808,1.362395561
0013.HK,1.460479198,0.014432982,3.872265754,1.350077808,0.014432982,3.228733119
0014.HK,1.186573097,0.03420773,1.744769033,0.430952748,0.03420773,0.321072171
0015.HK,0.579471094,0.999720152,0.341271123,0.012451738,0.999720152,0.000332915
0016.HK,1.657937631,0.01541475,4.943486124,1.45950422,0.01541475,3.646092755
0017.HK,2.745813851,0.31437095,7.68708178,0.129021399,0.31437095,0.028921117
0018.HK,0.871531844,0.999220508,0.763116716,0.011067301,0.999220508,0.000358602
0019.HK,1.231900777,0.013364933,2.684075875,1.13891095,0.013364933,2.183848829
0020.HK,1.515924027,0.041066303,3.057224375,0.614725642,0.041066303,0.606142184
0021.HK,0.256446394,0.999865279,0.068698447,0.011056346,0.999865279,0.000255053
0022.HK,0.29393973,0.999957195,0.091091505,0.01007156,0.999957195,0.000284212
0023.HK,0.692492827,0.023129716,0.688886906,0.423081143,0.023129716,0.301192032
0024.HK,0.312466421,0.999775146,0.100601655,0.011406742,0.999775146,0.00031199
0025.HK,7.523183097,0.566113601,56.94556043,0.137025183,0.566113601,0.042468087
0026.HK,1.062760693,0.013052407,3.370062942,1.064482558,0.013052407,2.418360525
0027.HK,1.992745146,0.050843551,6.131709271,1.136568836,0.050843551,2.118875453
0028.HK,4.363606368,0.898952654,19.36026462,0.062501476,0.898952654,0.00772349
0029.HK,3.116772011,0.996649666,9.826854671,0.074353951,0.996649666,0.011861366
0030.HK,0.182675403,0.999155027,0.039173393,0.008540773,0.999155027,0.000243914
0031.HK,1.091238226,0.999426897,1.282353627,0.036343073,0.999426897,0.003629919
0032.HK,6.699386111,0.789443222,46.2060836,0.100313618,0.789443222,0.021678478
0033.HK,0.148738496,0.998830018,0.024265244,0.007335675,0.998830018,0.000131805
0034.HK,3.350794348,0.377844793,11.40530347,0.104025576,0.377844793,0.021225776
0035.HK,2.95614384,0.995860025,8.877884543,0.056269265,0.995860025,0.006248733
0036.HK,1.137392322,0.999409438,2.228673274,0.055934142,0.999409438,0.026464366
0037.HK,0.454964734,0.999962444,0.241145999,0.023214129,0.999962444,0.001800188
0038.HK,4.790971777,0.894095196,23.53595033,0.144020574,0.894095196,0.045209746
0039.HK,1.741966972,0.998050229,4.737721446,0.103063615,0.998050229,0.059714705
0040.HK,0.859647514,0.999432694,0.755069178,0.020405386,0.999432694,0.000885712
0041.HK,1.520273226,0.05718959,2.562917135,0.332420249,0.05718959,0.192599526
0042.HK,2.196721111,0.998703472,5.144494435,0.074315339,0.998703472,0.012984093
0043.HK,0.888755878,0.999721564,0.811226914,0.020967083,0.999721564,0.00116608
0044.HK,0.775843221,0.01092659,1.146607715,0.668535211,0.01092659,0.736097481
0045.HK,3.881042772,0.379239403,15.42281534,0.127067316,0.379239403,0.02904652
0046.HK,2.758867323,0.998513854,7.725278733,0.050563903,0.998513854,0.006461463
0048.HK,0.340737469,0.9997889,0.130010686,0.018095318,0.9997889,0.001110143
0050.HK,6.750411005,0.740702814,46.32697324,0.12538713,0.740702814,0.042661569
0051.HK,4.904876878,0.360666196,24.09791857,0.109960458,0.360666196,0.025439501
0052.HK,8.169782886,0.396981922,68.30071043,0.229700492,0.396981922,0.100203643
0053.HK,0.659321896,0.007394771,0.910605616,0.552360397,0.007394771,0.560240077
0054.HK,1.156968581,0.042037785,1.520972226,0.297003176,0.042037785,0.144845325
0055.HK,0.019759254,0.999999711,0.001238944,0.003586805,0.999999711,0.000649377
0056.HK,1.561838115,0.985972431,2.500472744,0.03166034,0.985972431,0.002449911
0057.HK,2.010265353,0.98269464,4.098454901,0.025738453,0.98269464,0.001230577
0058.HK,0.355842201,0.99995218,0.144528189,0.017303625,0.99995218,0.000902158
0059.HK,0.761296279,0.999377216,0.594569807,0.02553089,0.999377216,0.001694656
0060.HK,1.09801341,0.99926829,1.230718262,0.026992116,0.99926829,0.001667702
0062.HK,0.719672064,0.0395705,0.610429673,0.182803101,0.0395705,0.070621209
0063.HK,0.431063458,0.999953955,0.252729331,0.023322433,0.999953955,0.001699766
0064.HK,0.346915394,0.999844843,0.123755837,0.008976309,0.999844843,0.00020609
0065.HK,0.445639819,0.999983135,0.2574266,0.02162275,0.999983135,0.001860965
